basename,sha1,path,action,reason
pglite-debug.log,da39a3ee5e6b4b0d3255bfef95601890afd80709,C:/Users/info/Desktop/anborco-app/functions/pglite-debug.log,DELETE,Identical to C:/Users/info/Desktop/anborco-app/pglite-debug.log
logo.png,a7a268f3aa2bf177916bbaaba700569cef267c9d,C:/Users/info/Desktop/anborco-app/Maspublic/logo.png,DELETE,Identical to C:/Users/info/Desktop/anborco-app/public/logo.png
